SIMRUN,TIMEINT,DATACOLLECTIONMEASUREMENT,ACCELERATION,DIST,LENGTH,VEHS,PERS,QUEUEDELAY,SPEEDAVGARITH,SPEEDAVGHARM,OCCUPRATE
2,103-7,3,0.40075015337822711,196.95470628981337313,3.82467018865771324,16,16,53.56250000000000000,13.31466747258053118,10.99165967582709946,0.78468639073916124
2,103-7,4,-0.36134752272345738,338.61325551955354740,5.22079067122080431,14,14,15.78571428571428648,14.25129188438242878,6.10500015494100090,0.98984049043725597
2,103-8,1,,,,0,0,,,,1.00000000000000000
2,103-8,2,,,,0,0,,,,1.00000000000000000
2,103-8,3,0.02616201705360748,198.94776876894889028,4.04315060091677658,18,18,41.38888888888888573,16.99017437200500780,10.92762231057802147,0.92921452442355990
2,103-8,4,-0.73271311667497419,336.21841167474883605,3.90849175446678210,11,11,28.81818181818181657,7.41852448571030454,2.80934998284439441,0.91029801642936647
2,103-9,1,1.32839676322255595,285.01359678223047922,3.90782619062207015,19,19,92.26315789473683537,23.11934989034995525,18.51370402728857911,0.64891685731049242
2,103-9,2,,,,0,0,,,,1.00000000000000000
2,103-9,3,0.13634542474897812,195.95089952176874704,4.09873205931971452,6,6,16.33333333333333215,6.46176631193797490,4.52753637695012312,1.00000000000000000
2,103-9,4,0.23992004521209073,337.78224813258015047,4.39699902234459739,12,12,17.41666666666666785,19.51366392774454184,17.04608261019084736,0.91720024306962478
2,103-10,1,-1.43321075754753013,286.49874715585434615,5.02982143059129783,13,13,72.84615384615383959,21.52963366569753845,11.26633065951364365,0.38034834849870169
2,103-10,2,-0.14159541220978705,395.52117282785309271,5.87356686236168546,7,7,90.14285714285713880,27.12288293129558880,25.68962197839622519,0.57863747560503498
2,103-10,3,,,,0,0,,,,1.00000000000000000
2,103-10,4,-0.21007083405138863,340.64774968413382794,3.36984370745112916,13,13,8.15384615384615330,35.44627903209966746,34.64069263136904908,1.00000000000000000
2,103-11,1,-2.01067815212280276,282.63708152721022770,4.32000362873077393,1,1,28.00000000000000000,10.68422526591989374,10.68422526591989374,1.00000000000000000
2,103-11,2,-0.87892875033339668,394.81053577419902467,4.64154218342292246,15,15,103.59999999999999432,21.04812536639738951,18.62195535891349607,0.51418746775142565
2,103-11,3,0.71886983789415648,195.95222272619241721,3.27423791768802408,9,9,106.44444444444444287,8.19154859760147502,7.29970725614445470,1.00000000000000000
2,103-11,4,0.19186566119661763,336.96616736797199110,4.50080170982010053,17,17,57.00000000000000000,16.22223183789321155,8.81714444851572487,1.00000000000000000
2,103-12,1,,,,0,0,,,,1.00000000000000000
2,103-12,2,2.97319249968455113,394.47054094058955798,1.77470004558563232,1,1,100.00000000000000000,21.99810840093526210,21.99810840093526210,1.00000000000000000
2,103-12,3,0.99111503059116557,200.44428772211404066,4.57308169148751009,15,15,88.26666666666666572,22.86807954434600632,17.13815594215994764,1.00000000000000000
2,103-12,4,0.11289669243235120,336.95458968466948591,4.25594837484341593,10,10,49.20000000000000284,9.68506121455463287,6.86026795600087702,1.00000000000000000
2,103-13,1,1.33682788900184235,283.64951512810318945,5.45745109394788752,10,10,117.79999999999999716,21.89040172692750019,20.63931263413521577,0.58402476460382791
2,103-13,2,,,,0,0,,,,1.00000000000000000
2,103-13,3,0.89133878684282164,195.73052254703372910,4.47146108929296116,6,6,79.33333333333332860,10.13701351805753781,6.99511213861057168,0.97005880486926044
2,103-13,4,0.05491724804474583,337.38162029010715059,4.36036648792413661,15,15,64.13333333333333997,13.61913584202622651,7.72433732653219973,1.00000000000000000
2,103-14,1,-0.42963823719478661,282.00487757842535075,3.76079997626190465,11,11,81.18181818181818699,13.28774840396946466,10.40829022140938775,0.43834742693294021
2,103-14,2,0.19125835966857885,394.32641607717164334,9.39269340674082365,6,6,151.16666666666665719,21.81283370967486235,19.77434461790226550,0.66606328470220433
2,103-14,3,,,,0,0,,,,1.00000000000000000
2,103-14,4,0.67065780101501649,340.04501410638619063,3.52255432391138390,15,15,30.60000000000000142,23.65180527880279016,20.47781566227116912,1.00000000000000000
2,103-15,1,0.69040838747544109,282.62536192854139472,5.22813336372375481,3,3,107.33333333333332860,9.93375234752169156,7.58042383541280707,0.93949873162853048
2,103-15,2,0.93556759394557343,394.13628308951354029,7.25984765946865007,8,8,134.12500000000000000,23.35108944874339798,19.13430221757929672,0.53308570299506641
2,103-15,3,-0.03796579431202965,196.79369236019536515,3.77266734149233818,11,11,167.36363636363637397,8.59285139983005486,6.21257905502978058,0.95210452554268277
2,103-15,4,-0.63410944638774414,339.46646738356065498,5.25655955306099720,14,14,62.99999999999999289,17.13554956083005365,5.50732738600845995,0.94858741941982505
2,103-16,1,,,,0,0,,,,1.00000000000000000
2,103-16,2,-0.99459816463066786,393.18340592318867266,2.51242709922775465,4,4,158.75000000000000000,16.97790574556960053,16.41235857554319466,1.00000000000000000
2,103-16,3,-0.46362780466671155,196.45960105317723787,3.65610074607836966,25,25,136.32000000000002160,17.87225141194939226,12.87256477469886384,0.99844190515359132
2,103-16,4,-0.49801080650082419,338.64854857245057929,4.51852700551325714,12,12,37.16666666666666430,13.92797571418969049,9.52446389913355596,1.00000000000000000
2,103-17,1,0.79271709562516668,288.33890403360965138,5.95788678061955412,9,9,145.22222222222222854,29.44636935199802963,27.57281183906757605,0.47638593691384012
2,103-17,2,,,,0,0,,,,1.00000000000000000
2,103-17,3,-0.86878838804026481,193.96262761901854788,5.17542897335678287,6,6,85.50000000000000000,7.58416043589079791,3.74617122125516744,1.00000000000000000
2,103-17,4,0.92072381025638295,337.26601549641333122,4.29013263430943681,13,13,13.53846153846153832,29.03727689718888172,27.63309052530552989,1.00000000000000000
2,103-18,1,-0.98162265254965508,284.79964747522262769,3.62076417318959853,12,12,158.58333333333334281,22.78962695137590444,19.95010964499071804,0.49209531122367023
2,103-18,2,0.30433834102124324,391.98004275782722061,8.17293652884155364,6,6,154.00000000000000000,14.50031252456818720,14.31281597101632919,0.69556799743550068
2,103-18,3,,,,0,0,,,,1.00000000000000000
2,103-18,4,-0.17941537651038494,339.16971732123647598,3.51995833717907969,14,14,40.14285714285714590,27.39755644187763295,11.16593223734321505,0.92071010931939179
2,103-19,1,0.12340066759252710,288.63497112759193897,8.31765419721603294,2,2,147.00000000000000000,19.59516870378560682,16.80520755034167379,1.00000000000000000
2,103-19,2,-1.16866896592658365,394.55064158325740209,6.56339732510702856,7,7,169.14285714285713880,16.18123851742413422,12.24091697561818926,0.64929632053438902
2,103-19,3,0.78112238385745336,198.06978797451392893,3.65323812528079062,11,11,202.27272727272728048,15.05218582046970432,6.37367699295479895,1.00000000000000000
2,103-19,4,0.13317973305598313,339.33815761203868533,3.74968687120488520,21,21,88.95238095238094900,20.80239789340375722,13.87035610171180622,0.92190972882774536
2,103-20,1,,,,0,0,,,,1.00000000000000000
2,103-20,2,,,,0,0,,,,1.00000000000000000
2,103-20,3,-0.40099213062328842,195.23969208859000446,5.32400465715848359,13,13,131.92307692307693401,12.42744163440398708,7.92608090983029978,0.96403665128447069
2,103-20,4,-0.57615591943340094,337.93650683002857704,4.00978301194581110,11,11,78.00000000000000000,9.83784001024902643,5.92460024135860408,0.70012713144481042
3,103-1,1,0.24493153067997261,286.94700031257031014,1.77470004558563232,1,1,0.00000000000000000,42.11803266939173795,42.11803266939173795,0.00507275468438368
3,103-1,2,,,,0,0,,,,0.00000000000000000
3,103-1,3,-0.11468786007219919,201.89881651284591157,5.18133117202332816,7,7,0.00000000000000000,38.89460440970659505,36.74192556859080128,0.09775017980647398
3,103-1,4,-1.07942673189806793,344.54247623650047672,9.08823019742965599,2,2,0.00000000000000000,45.55719029820434685,44.85323227890338416,0.04802576860250873
3,103-2,1,0.79541980192814110,285.34282141968645874,4.58007480654927690,11,11,3.00000000000000000,26.97328686726248037,22.43543349240229645,0.35710698629108817
3,103-2,2,-1.40302886319312359,399.42550182104059786,7.17955729603767345,4,4,0.00000000000000000,43.56799663068401429,42.76583053745540042,0.08730481282796086
3,103-2,3,-1.20196373092567232,203.34800318671375408,4.16293424224845943,16,16,0.00000000000000000,36.52532662166426292,35.71234610951688637,0.21564054028586527
